Date,Forecasted
2025-09-04,61933.652
2025-09-05,69152.914
2025-09-06,67624.484
2025-09-07,52196.65
2025-09-08,55844.055
2025-09-09,51305.402
2025-09-10,45592.4
2025-09-11,66487.9
2025-09-12,67850.69
2025-09-13,71966.375
2025-09-14,72761.42
2025-09-15,75735.39
2025-09-16,52575.043
2025-09-17,45406.953
2025-09-18,64945.176
2025-09-19,69498.06
2025-09-20,70761.586
2025-09-21,72434.76
2025-09-22,77665.94
2025-09-23,56309.785
2025-09-24,45887.363
2025-09-25,48233.992
2025-09-26,68345.664
2025-09-27,73590.95
2025-09-28,73124.16
2025-09-29,78181.9
2025-09-30,57997.01
2025-10-01,51079.812
2025-10-02,67515.336
2025-10-03,68573.54
