Date,Forecasted
2025-09-04,767091.06
2025-09-05,880913.6
2025-09-06,817718.7
2025-09-07,610896.9
2025-09-08,654607.7
2025-09-09,594672.2
2025-09-10,520437.12
2025-09-11,789865.7
2025-09-12,806450.2
2025-09-13,896598.9
2025-09-14,875236.9
2025-09-15,938634.2
2025-09-16,641359.1
2025-09-17,525968.3
2025-09-18,742733.06
2025-09-19,806420.06
2025-09-20,869983.75
2025-09-21,907985.44
2025-09-22,960935.6
2025-09-23,659122.8
2025-09-24,517579.4
2025-09-25,531185.2
2025-09-26,786877.75
2025-09-27,893997.2
2025-09-28,829835.75
2025-09-29,939468.44
2025-09-30,631267.06
2025-10-01,565863.94
2025-10-02,801379.44
2025-10-03,877888.6
