Date,Forecasted
2025-09-04,410100.62
2025-09-05,461970.2
2025-09-06,422849.84
2025-09-07,336865.12
2025-09-08,362523.4
2025-09-09,301279.72
2025-09-10,239275.55
2025-09-11,436087.2
2025-09-12,482575.72
2025-09-13,501850.84
2025-09-14,505378.97
2025-09-15,529459.06
2025-09-16,318265.34
2025-09-17,258817.86
2025-09-18,423515.53
2025-09-19,468496.5
2025-09-20,491069.66
2025-09-21,517509.66
2025-09-22,528649.2
2025-09-23,332518.47
2025-09-24,258032.2
2025-09-25,260697.3
2025-09-26,459724.4
2025-09-27,507735.0
2025-09-28,513652.8
2025-09-29,530396.0
2025-09-30,340782.03
2025-10-01,283635.75
2025-10-02,471521.38
2025-10-03,503118.78
