Date,Forecasted
2025-09-04,62279.324
2025-09-05,65386.203
2025-09-06,67453.04
2025-09-07,59294.875
2025-09-08,64750.277
2025-09-09,42792.508
2025-09-10,44191.56
2025-09-11,60341.99
2025-09-12,67475.57
2025-09-13,68715.695
2025-09-14,70158.01
2025-09-15,83401.94
2025-09-16,60825.273
2025-09-17,52756.043
2025-09-18,67661.52
2025-09-19,81803.58
2025-09-20,83905.28
2025-09-21,76894.75
2025-09-22,75135.91
2025-09-23,46928.645
2025-09-24,38675.24
2025-09-25,55988.336
2025-09-26,66119.914
2025-09-27,73881.766
2025-09-28,66816.92
2025-09-29,74583.27
2025-09-30,56604.285
2025-10-01,48977.684
2025-10-02,66029.77
2025-10-03,71855.08
