Date,Forecasted
2025-09-04,72718.25
2025-09-05,84413.68
2025-09-06,79813.414
2025-09-07,53640.57
2025-09-08,62894.74
2025-09-09,46207.24
2025-09-10,41499.367
2025-09-11,77825.75
2025-09-12,84505.914
2025-09-13,89794.266
2025-09-14,87629.49
2025-09-15,89863.39
2025-09-16,49575.285
2025-09-17,42799.418
2025-09-18,78061.23
2025-09-19,78922.54
2025-09-20,87843.01
2025-09-21,88814.59
2025-09-22,89187.04
2025-09-23,48377.883
2025-09-24,37962.37
2025-09-25,40673.22
2025-09-26,78988.71
2025-09-27,87146.586
2025-09-28,88050.79
2025-09-29,91034.75
2025-09-30,49493.49
2025-10-01,41284.258
2025-10-02,86843.84
2025-10-03,84070.49
