Date,Forecasted
2025-09-04,37617.54
2025-09-05,40224.867
2025-09-06,35839.21
2025-09-07,30862.217
2025-09-08,30647.523
2025-09-09,25928.05
2025-09-10,24636.982
2025-09-11,36704.47
2025-09-12,38637.684
2025-09-13,41304.555
2025-09-14,40080.74
2025-09-15,42935.51
2025-09-16,28723.084
2025-09-17,27349.21
2025-09-18,37230.6
2025-09-19,37161.375
2025-09-20,40052.48
2025-09-21,43339.58
2025-09-22,44313.625
2025-09-23,28475.545
2025-09-24,24461.375
2025-09-25,26737.705
2025-09-26,36596.01
2025-09-27,37764.47
2025-09-28,37962.26
2025-09-29,43363.734
2025-09-30,30690.262
2025-10-01,28187.271
2025-10-02,41120.477
2025-10-03,38401.766
