Date,Forecasted
2025-09-04,44168.3
2025-09-05,46149.87
2025-09-06,45460.953
2025-09-07,44185.715
2025-09-08,45447.746
2025-09-09,31461.193
2025-09-10,30078.023
2025-09-11,43204.945
2025-09-12,46667.703
2025-09-13,46073.33
2025-09-14,45396.684
2025-09-15,52576.086
2025-09-16,37257.207
2025-09-17,34097.082
2025-09-18,46768.47
2025-09-19,52155.645
2025-09-20,49378.15
2025-09-21,50100.9
2025-09-22,48709.453
2025-09-23,35516.617
2025-09-24,27997.922
2025-09-25,37972.844
2025-09-26,42489.598
2025-09-27,44857.11
2025-09-28,45097.5
2025-09-29,47180.688
2025-09-30,37364.508
2025-10-01,35856.184
2025-10-02,52000.582
2025-10-03,55307.336
