epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0003,0,,,,,,,
0,,9,,11943.6025390625,,,,,
0,,19,,8180.25146484375,,,,,
0,,27,,,5720.673828125,0.09444888681173325,8523.7314453125,0.0868154913187027,5720.673828125
0,,27,10750.767578125,,,,,,
,0.0003,28,,,,,,,
1,,29,,6679.05224609375,,,,,
1,,39,,6561.66357421875,,,,,
1,,49,,6248.1494140625,,,,,
1,,55,,,4270.52880859375,0.07671471685171127,8269.47265625,0.06671185791492462,4270.52880859375
1,,55,6493.86328125,,,,,,
,0.0003,56,,,,,,,
2,,59,,6154.0498046875,,,,,
2,,69,,5653.09521484375,,,,,
2,,79,,5391.72705078125,,,,,
2,,83,,,4213.74755859375,0.0752672329545021,8026.033203125,0.06588497757911682,4213.74755859375
2,,83,5356.2890625,,,,,,
,0.0003,84,,,,,,,
3,,89,,4187.47705078125,,,,,
3,,99,,5186.56982421875,,,,,
3,,109,,4363.4501953125,,,,,
3,,111,,,4210.9111328125,0.07541047036647797,7975.7529296875,0.06597676873207092,4210.9111328125
3,,111,4853.88818359375,,,,,,
,0.0003,112,,,,,,,
4,,119,,4712.662109375,,,,,
4,,129,,4356.2353515625,,,,,
4,,139,,4348.51220703125,,,,,
4,,139,,,4634.78125,0.07959332317113876,7807.64208984375,0.07155731320381165,4634.78125
4,,139,4606.60009765625,,,,,,
,0.0003,140,,,,,,,
5,,149,,5102.35595703125,,,,,
5,,159,,4257.12744140625,,,,,
5,,167,,,4434.41357421875,0.07723068445920944,7791.8291015625,0.06883743405342102,4434.41357421875
5,,167,4513.07177734375,,,,,,
,0.0003,168,,,,,,,
6,,169,,4340.8017578125,,,,,
6,,179,,4383.69287109375,,,,,
6,,189,,3698.17041015625,,,,,
6,,195,,,4375.5341796875,0.07658689469099045,7773.73291015625,0.06809595227241516,4375.5341796875
6,,195,4329.88623046875,,,,,,
,0.0003,196,,,,,,,
7,,199,,4004.053955078125,,,,,
7,,209,,3944.551513671875,,,,,
7,,219,,3931.554443359375,,,,,
7,,223,,,4411.6025390625,0.07646797597408295,7606.59375,0.06854045391082764,4411.6025390625
7,,223,4147.70654296875,,,,,,
,0.0003,224,,,,,,,
8,,229,,3884.288330078125,,,,,
8,,239,,3921.81396484375,,,,,
8,,249,,4253.53759765625,,,,,
8,,251,,,4128.38330078125,0.0732952430844307,7614.32275390625,0.06480558961629868,4128.38330078125
8,,251,4076.562255859375,,,,,,
,0.0003,252,,,,,,,
9,,259,,3812.561279296875,,,,,
9,,269,,4175.59375,,,,,
9,,279,,3819.5166015625,,,,,
9,,279,,,4360.05615234375,0.07533086091279984,7431.24951171875,0.0678434744477272,4360.05615234375
9,,279,3974.931640625,,,,,,
,0.0003,280,,,,,,,
10,,289,,3631.56884765625,,,,,
10,,299,,3658.070556640625,,,,,
10,,307,,,4041.191650390625,0.07117842137813568,7337.2734375,0.0634898841381073,4041.191650390625
10,,307,3806.54541015625,,,,,,
,0.0003,308,,,,,,,
