date,forecast_arl
2025-09-04,74625.49
2025-09-05,72586.6
2025-09-06,73869.81
2025-09-07,75333.35
2025-09-08,56829.543
2025-09-09,51522.305
2025-09-10,52272.746
2025-09-11,52120.36
2025-09-12,70998.91
2025-09-13,72852.23
2025-09-14,74649.16
2025-09-15,55860.77
2025-09-16,50871.492
2025-09-17,73470.52
2025-09-18,75273.58
2025-09-19,73121.65
2025-09-20,74208.84
2025-09-21,75534.25
2025-09-22,56426.1
2025-09-23,51157.77
2025-09-24,73648.45
2025-09-25,75397.63
2025-09-26,73220.44
2025-09-27,74282.91
2025-09-28,75589.375
2025-09-29,56309.086
2025-09-30,51032.293
2025-10-01,73669.266
2025-10-02,75425.5
2025-10-03,73261.08
