epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0003,0,,,,,,,
0,,9,,58814.16015625,,,,,
0,,19,,48861.875,,,,,
0,,28,,,34315.8359375,0.09287039935588837,55227.9453125,0.08152344822883606,34315.8359375
0,,28,62193.05078125,,,,,,
,0.0003,29,,,,,,,
1,,29,,45854.51953125,,,,,
1,,39,,41617.9765625,,,,,
1,,49,,39051.1328125,,,,,
1,,57,,,37513.1328125,0.0980483666062355,56010.08203125,0.08777440339326859,37513.1328125
1,,57,41486.65625,,,,,,
,0.0003,58,,,,,,,
2,,59,,36401.78515625,,,,,
2,,69,,33801.70703125,,,,,
2,,79,,32991.45703125,,,,,
2,,86,,,37215.484375,0.09631775319576263,54106.46875,0.08709171414375305,37215.484375
2,,86,35952.19140625,,,,,,
,0.0003,87,,,,,,,
3,,89,,39864.15234375,,,,,
3,,99,,35601.93359375,,,,,
3,,109,,34981.45703125,,,,,
3,,115,,,32464.74609375,0.08654023706912994,49732.1171875,0.07714656740427017,32464.74609375
3,,115,34028.30078125,,,,,,
,0.0003,116,,,,,,,
4,,119,,33888.7421875,,,,,
4,,129,,31800.958984375,,,,,
4,,139,,31991.033203125,,,,,
4,,144,,,30278.41796875,0.07919985800981522,44516.75390625,0.07207076996564865,30278.41796875
4,,144,31606.154296875,,,,,,
,0.0003,145,,,,,,,
5,,149,,33843.671875,,,,,
5,,159,,31799.76171875,,,,,
5,,169,,29607.041015625,,,,,
5,,173,,,29817.103515625,0.07521136105060577,39934.46484375,0.070669986307621,29817.103515625
5,,173,29595.830078125,,,,,,
,0.0003,174,,,,,,,
6,,179,,31829.392578125,,,,,
6,,189,,30281.8125,,,,,
6,,199,,27461.287109375,,,,,
6,,202,,,22930.98828125,0.05810629948973656,31357.548828125,0.05501525476574898,22930.98828125
6,,202,27939.0625,,,,,,
,0.0003,203,,,,,,,
7,,209,,26569.36328125,,,,,
7,,219,,27303.443359375,,,,,
7,,229,,25898.478515625,,,,,
7,,231,,,31417.7421875,0.07133160531520844,35783.29296875,0.0721261277794838,31417.7421875
7,,231,26238.404296875,,,,,,
,0.0003,232,,,,,,,
8,,239,,24526.369140625,,,,,
8,,249,,24848.2421875,,,,,
8,,259,,26538.275390625,,,,,
8,,260,,,23037.37890625,0.055160753428936005,27540.42578125,0.05498624965548515,23037.37890625
8,,260,25125.69140625,,,,,,
,0.0003,261,,,,,,,
9,,269,,22679.298828125,,,,,
9,,279,,22143.767578125,,,,,
9,,289,,23572.623046875,,,,,
9,,289,,,24779.220703125,0.05799609050154686,28477.1171875,0.058143068104982376,24779.220703125
9,,289,23752.7421875,,,,,,
,0.0003,290,,,,,,,
10,,299,,23169.0703125,,,,,
10,,309,,21232.62109375,,,,,
10,,318,,,21875.62890625,0.052080828696489334,25500.21875,0.05212174728512764,21875.62890625
10,,318,23127.75,,,,,,
,0.0003,319,,,,,,,
11,,319,,22040.5546875,,,,,
11,,329,,21931.0859375,,,,,
11,,339,,22992.005859375,,,,,
11,,347,,,21689.78125,0.051239319145679474,24985.599609375,0.051790572702884674,21689.78125
11,,347,22259.517578125,,,,,,
,0.0003,348,,,,,,,
12,,349,,20425.65625,,,,,
12,,359,,21272.716796875,,,,,
12,,369,,21328.017578125,,,,,
12,,376,,,19523.24609375,0.04676555097103119,22706.234375,0.047102998942136765,19523.24609375
12,,376,21592.083984375,,,,,,
,0.0003,377,,,,,,,
13,,379,,21231.55859375,,,,,
13,,389,,21644.12890625,,,,,
13,,399,,19014.599609375,,,,,
13,,405,,,20125.966796875,0.0475570484995842,23109.591796875,0.048313748091459274,20125.966796875
13,,405,21406.98046875,,,,,,
,0.0003,406,,,,,,,
14,,409,,19751.970703125,,,,,
14,,419,,18882.416015625,,,,,
14,,429,,23418.6171875,,,,,
14,,434,,,21326.205078125,0.04974300041794777,24339.443359375,0.05073719844222069,21326.205078125
14,,434,21052.4140625,,,,,,
,0.0003,435,,,,,,,
15,,439,,18831.85546875,,,,,
15,,449,,22874.83984375,,,,,
15,,459,,23402.62109375,,,,,
15,,463,,,20342.73828125,0.047687333077192307,23186.74609375,0.048460353165864944,20342.73828125
15,,463,20986.111328125,,,,,,
,0.0003,464,,,,,,,
16,,469,,20671.263671875,,,,,
16,,479,,20217.955078125,,,,,
16,,489,,21658.3203125,,,,,
16,,492,,,20842.501953125,0.04848470538854599,23903.07421875,0.04959189146757126,20842.501953125
16,,492,20447.892578125,,,,,,
,0.0003,493,,,,,,,
17,,499,,22447.517578125,,,,,
17,,509,,19466.173828125,,,,,
17,,519,,20113.96484375,,,,,
17,,521,,,21001.8828125,0.04893430694937706,23952.181640625,0.049730341881513596,21001.8828125
17,,521,20289.314453125,,,,,,
,0.00015,522,,,,,,,
18,,529,,17791.62109375,,,,,
18,,539,,21072.95703125,,,,,
18,,549,,19259.8515625,,,,,
18,,550,,,20940.044921875,0.04870856553316116,23912.28125,0.04969161003828049,20940.044921875
18,,550,19480.1875,,,,,,
,0.00015,551,,,,,,,
19,,559,,20718.52734375,,,,,
19,,569,,18669.802734375,,,,,
19,,579,,21490.40234375,,,,,
19,,579,,,22046.55078125,0.05078922212123871,24979.998046875,0.05186871439218521,22046.55078125
19,,579,19232.82421875,,,,,,
