date,forecast_blue
2025-09-04,507644.44
2025-09-05,503307.56
2025-09-06,503055.0
2025-09-07,518666.0
2025-09-08,337655.16
2025-09-09,282481.3
2025-09-10,247705.45
2025-09-11,283340.0
2025-09-12,486374.2
2025-09-13,492976.06
2025-09-14,511221.9
2025-09-15,333045.16
2025-09-16,278534.3
2025-09-17,478282.03
2025-09-18,492340.12
2025-09-19,498134.7
2025-09-20,500097.66
2025-09-21,517488.38
2025-09-22,336277.44
2025-09-23,279129.25
2025-09-24,478817.6
2025-09-25,492214.94
2025-09-26,496351.62
2025-09-27,498434.62
2025-09-28,516568.06
2025-09-29,335336.38
2025-09-30,277189.16
2025-10-01,475307.25
2025-10-02,489103.2
2025-10-03,492468.25
