epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0003,0,,,,,,,
0,,9,,142367.53125,,,,,
0,,19,,98240.484375,,,,,
0,,28,,,48897.5390625,0.07786664366722107,90383.1953125,0.06797738373279572,48897.5390625
0,,28,127792.1796875,,,,,,
,0.0003,29,,,,,,,
1,,29,,101545.6640625,,,,,
1,,39,,80229.0,,,,,
1,,49,,75153.7421875,,,,,
1,,57,,,43344.33203125,0.07034120708703995,84828.171875,0.0611700676381588,43344.33203125
1,,57,83376.9765625,,,,,,
,0.0003,58,,,,,,,
2,,59,,74817.265625,,,,,
2,,69,,77626.6796875,,,,,
2,,79,,69599.890625,,,,,
2,,86,,,36681.84765625,0.06097806990146637,79151.921875,0.052291158586740494,36681.84765625
2,,86,74354.34375,,,,,,
,0.0003,87,,,,,,,
3,,89,,63311.00390625,,,,,
3,,99,,69870.015625,,,,,
3,,109,,66927.125,,,,,
3,,115,,,36915.70703125,0.059962645173072815,72522.3046875,0.05267557129263878,36915.70703125
3,,115,64967.8671875,,,,,,
,0.0003,116,,,,,,,
4,,119,,61464.80859375,,,,,
4,,129,,56302.6640625,,,,,
4,,139,,55403.79296875,,,,,
4,,144,,,40038.91796875,0.06269650161266327,67998.390625,0.05695802718400955,40038.91796875
4,,144,59992.8984375,,,,,,
,0.0003,145,,,,,,,
5,,149,,57937.42578125,,,,,
5,,159,,55740.12890625,,,,,
5,,169,,53961.7421875,,,,,
5,,173,,,33509.90234375,0.055213022977113724,64928.65234375,0.04907161369919777,33509.90234375
5,,173,56783.84765625,,,,,,
,0.0003,174,,,,,,,
6,,179,,55663.76171875,,,,,
6,,189,,61900.75,,,,,
6,,199,,55193.921875,,,,,
6,,202,,,32534.31640625,0.05176573619246483,56293.9765625,0.047331977635622025,32534.31640625
6,,202,52929.44140625,,,,,,
,0.0003,203,,,,,,,
7,,209,,49004.3203125,,,,,
7,,219,,51647.7265625,,,,,
7,,229,,46050.30859375,,,,,
7,,231,,,27691.486328125,0.04471862316131592,51287.4609375,0.0408402755856514,27691.486328125
7,,231,52135.015625,,,,,,
,0.0003,232,,,,,,,
8,,239,,50435.24609375,,,,,
8,,249,,48871.5078125,,,,,
8,,259,,50676.3125,,,,,
8,,260,,,24836.626953125,0.041670333594083786,47190.4453125,0.038041871041059494,24836.626953125
8,,260,48315.6640625,,,,,,
,0.0003,261,,,,,,,
9,,269,,48102.66015625,,,,,
9,,279,,52172.78515625,,,,,
9,,289,,47295.046875,,,,,
9,,289,,,22549.15234375,0.03816572576761246,43477.05859375,0.0349591001868248,22549.15234375
9,,289,46190.8046875,,,,,,
,0.0003,290,,,,,,,
10,,299,,42531.66015625,,,,,
10,,309,,51338.67578125,,,,,
10,,318,,,21676.947265625,0.036513540893793106,41135.90234375,0.03359610587358475,21676.947265625
10,,318,45235.34765625,,,,,,
,0.0003,319,,,,,,,
11,,319,,43488.1328125,,,,,
11,,329,,43003.12890625,,,,,
11,,339,,40275.80859375,,,,,
11,,347,,,20379.298828125,0.034177351742982864,38731.06640625,0.03160708770155907,20379.298828125
11,,347,42797.79296875,,,,,,
,0.0003,348,,,,,,,
12,,349,,40027.046875,,,,,
12,,359,,40067.96484375,,,,,
12,,369,,38898.93359375,,,,,
12,,376,,,22392.087890625,0.03726542741060257,40837.625,0.034574639052152634,22392.087890625
12,,376,41721.70703125,,,,,,
,0.0003,377,,,,,,,
13,,379,,40719.05859375,,,,,
13,,389,,45083.859375,,,,,
13,,399,,40849.01953125,,,,,
13,,405,,,24232.154296875,0.0385655015707016,37910.07421875,0.03661205992102623,24232.154296875
13,,405,41069.8203125,,,,,,
,0.0003,406,,,,,,,
14,,409,,37320.9453125,,,,,
14,,419,,43989.78515625,,,,,
14,,429,,38301.5234375,,,,,
14,,434,,,22356.666015625,0.03573642671108246,35761.859375,0.0340990349650383,22356.666015625
14,,434,39854.1796875,,,,,,
,0.0003,435,,,,,,,
15,,439,,41382.515625,,,,,
15,,449,,39135.18359375,,,,,
15,,459,,38372.9296875,,,,,
15,,463,,,22082.931640625,0.03632362559437752,37191.83203125,0.034119464457035065,22082.931640625
15,,463,39068.6953125,,,,,,
,0.0003,464,,,,,,,
16,,469,,37120.16015625,,,,,
16,,479,,39101.453125,,,,,
16,,489,,41850.80078125,,,,,
16,,492,,,20960.443359375,0.035188619047403336,37109.20703125,0.032985128462314606,20960.443359375
16,,492,38379.890625,,,,,,
,0.00015,493,,,,,,,
17,,499,,34500.37890625,,,,,
17,,509,,38070.01171875,,,,,
17,,519,,35115.40234375,,,,,
17,,521,,,22930.5234375,0.03773730620741844,37675.9765625,0.035440102219581604,22930.5234375
17,,521,36808.72265625,,,,,,
,0.00015,522,,,,,,,
18,,529,,36626.53515625,,,,,
18,,539,,39943.94921875,,,,,
18,,549,,39094.734375,,,,,
18,,550,,,23087.927734375,0.03779979050159454,37296.83984375,0.03556095436215401,23087.927734375
18,,550,36346.47265625,,,,,,
,0.00015,551,,,,,,,
19,,559,,38358.00390625,,,,,
19,,569,,37839.0078125,,,,,
19,,579,,34788.73828125,,,,,
19,,579,,,23123.544921875,0.03664275258779526,34477.78125,0.03525632992386818,23123.544921875
19,,579,36321.1328125,,,,,,
,0.00015,580,,,,,,,
20,,589,,39201.43359375,,,,,
20,,599,,36321.609375,,,,,
20,,608,,,22536.6484375,0.036996204406023026,35774.19921875,0.03504396229982376,22536.6484375
20,,608,35644.01171875,,,,,,
,0.00015,609,,,,,,,
21,,609,,33346.60546875,,,,,
21,,619,,32663.86328125,,,,,
21,,629,,35149.08203125,,,,,
21,,637,,,22993.443359375,0.03768354281783104,35212.45703125,0.035929106175899506,22993.443359375
21,,637,35401.0859375,,,,,,
,0.00015,638,,,,,,,
22,,639,,33450.9609375,,,,,
22,,649,,35991.83203125,,,,,
22,,659,,32232.35546875,,,,,
22,,666,,,22065.91015625,0.0360373854637146,34217.34765625,0.034472521394491196,22065.91015625
22,,666,34823.24609375,,,,,,
,0.00015,667,,,,,,,
23,,669,,30869.326171875,,,,,
23,,679,,34196.69921875,,,,,
23,,689,,34967.83203125,,,,,
23,,695,,,22807.8046875,0.03725351393222809,34630.8203125,0.03559393808245659,22807.8046875
23,,695,34660.37890625,,,,,,
,0.00015,696,,,,,,,
24,,699,,37175.0,,,,,
24,,709,,36965.28515625,,,,,
24,,719,,32733.44921875,,,,,
24,,724,,,22290.068359375,0.036611802875995636,34660.41015625,0.034917060285806656,22290.068359375
24,,724,34314.8203125,,,,,,
,0.00015,725,,,,,,,
25,,729,,33835.7421875,,,,,
25,,739,,39312.81640625,,,,,
25,,749,,32681.919921875,,,,,
25,,753,,,21285.732421875,0.03441011905670166,32719.73046875,0.03313826397061348,21285.732421875
25,,753,33685.234375,,,,,,
,7.5e-05,754,,,,,,,
26,,759,,34650.08203125,,,,,
26,,769,,35740.69140625,,,,,
26,,779,,36995.79296875,,,,,
26,,782,,,21814.96875,0.03566394001245499,33712.16015625,0.034171558916568756,21814.96875
26,,782,33299.6015625,,,,,,
,7.5e-05,783,,,,,,,
27,,789,,33169.83203125,,,,,
27,,799,,32986.6484375,,,,,
27,,809,,33504.875,,,,,
27,,811,,,22467.982421875,0.036516327410936356,33529.890625,0.03502843156456947,22467.982421875
27,,811,33148.54296875,,,,,,
,7.5e-05,812,,,,,,,
28,,819,,31543.5078125,,,,,
28,,829,,35868.1953125,,,,,
28,,839,,31371.896484375,,,,,
28,,840,,,21455.052734375,0.03495538607239723,32540.7734375,0.033648889511823654,21455.052734375
28,,840,32893.37109375,,,,,,
,7.5e-05,841,,,,,,,
29,,849,,32286.244140625,,,,,
29,,859,,32928.19140625,,,,,
29,,869,,30846.14453125,,,,,
29,,869,,,23237.099609375,0.037832435220479965,34179.26953125,0.03639310225844383,23237.099609375
29,,869,32689.845703125,,,,,,
,7.5e-05,870,,,,,,,
30,,879,,31083.451171875,,,,,
30,,889,,33414.0859375,,,,,
30,,898,,,21524.697265625,0.03443176671862602,31928.2265625,0.033437978476285934,21524.697265625
30,,898,32724.349609375,,,,,,
,7.5e-05,899,,,,,,,
31,,899,,34724.359375,,,,,
31,,909,,31715.6171875,,,,,
31,,919,,34007.69921875,,,,,
31,,927,,,22106.47265625,0.03585426136851311,32937.5859375,0.03459225594997406,22106.47265625
31,,927,32687.712890625,,,,,,
