epoch,lr-AdamW,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0001,0,,,,,,,
0,,1,,,14809.939453125,0.23132844269275665,15876.630859375,0.2372472584247589,19608.455078125
0,,1,17424.65234375,,,,,,
,0.0001,2,,,,,,,
1,,3,,,14669.0966796875,0.23095914721488953,15652.083984375,0.23504193127155304,18746.0390625
1,,3,16647.76953125,,,,,,
,0.0001,4,,,,,,,
2,,5,,,14533.43359375,0.2305128574371338,15450.4443359375,0.23291607201099396,17927.96875
2,,5,15957.6484375,,,,,,
,0.0001,6,,,,,,,
3,,7,,,14402.5810546875,0.23001067340373993,15268.1669921875,0.23086604475975037,17136.90234375
3,,7,15161.587890625,,,,,,
,0.0001,8,,,,,,,
4,,9,,14326.482421875,,,,,
4,,9,,,14278.2939453125,0.2295188009738922,15103.54296875,0.22892461717128754,16387.99609375
4,,9,14497.4345703125,,,,,,
,0.0001,10,,,,,,,
5,,11,,,14156.6162109375,0.2290366291999817,14949.91015625,0.22703073918819427,15669.03125
5,,11,13923.041015625,,,,,,
,0.0001,12,,,,,,,
6,,13,,,14039.53125,0.22855056822299957,14809.751953125,0.22521311044692993,14985.3896484375
6,,13,13179.94921875,,,,,,
,0.0001,14,,,,,,,
7,,15,,,13922.4423828125,0.22805894911289215,14676.6787109375,0.2234015166759491,14350.4306640625
7,,15,12739.697265625,,,,,,
,0.0001,16,,,,,,,
8,,17,,,13805.818359375,0.2275613397359848,14551.232421875,0.22160302102565765,13748.625
8,,17,12169.9267578125,,,,,,
,0.0001,18,,,,,,,
9,,19,,11567.80078125,,,,,
9,,19,,,13689.7626953125,0.22704927623271942,14433.4814453125,0.21981877088546753,13163.720703125
9,,19,11593.04296875,,,,,,
,0.0001,20,,,,,,,
10,,21,,,13584.1357421875,0.22653132677078247,14332.0908203125,0.21819810569286346,12595.8330078125
10,,21,11154.60546875,,,,,,
,0.0001,22,,,,,,,
11,,23,,,13482.328125,0.22598876059055328,14238.943359375,0.2166396826505661,12046.6142578125
11,,23,10662.34375,,,,,,
,0.0001,24,,,,,,,
