date,forecast_pink
2025-09-04,79440.67
2025-09-05,79528.266
2025-09-06,79587.48
2025-09-07,79618.48
2025-09-08,52963.18
2025-09-09,49029.184
2025-09-10,42930.754
2025-09-11,41700.367
2025-09-12,76514.27
2025-09-13,77407.81
2025-09-14,78080.09
2025-09-15,48661.848
2025-09-16,45528.54
2025-09-17,76178.055
2025-09-18,77036.95
2025-09-19,77723.74
2025-09-20,78209.18
2025-09-21,78528.195
2025-09-22,49662.12
2025-09-23,46108.72
2025-09-24,76312.234
2025-09-25,77094.09
2025-09-26,77696.07
2025-09-27,78113.984
2025-09-28,78386.32
2025-09-29,49440.523
2025-09-30,45859.63
2025-10-01,76098.33
2025-10-02,76882.16
2025-10-03,77477.59
