epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0001,0,,,,,,,
0,,9,,21421.9453125,,,,,
0,,19,,15434.7001953125,,,,,
0,,28,,,30153.51171875,0.36512312293052673,35220.32421875,0.47349515557289124,19635.357421875
0,,28,18788.333984375,,,,,,
,0.0001,29,,,,,,,
1,,29,,11718.7021484375,,,,,
1,,39,,9524.3642578125,,,,,
1,,49,,7636.76123046875,,,,,
1,,57,,,24337.03125,0.3098163306713104,27673.001953125,0.3639480471611023,10410.8291015625
1,,57,8868.9443359375,,,,,,
,0.0001,58,,,,,,,
2,,59,,6950.11474609375,,,,,
2,,69,,6371.83642578125,,,,,
2,,79,,5260.6298828125,,,,,
2,,86,,,10170.779296875,0.17464283108711243,12824.0390625,0.16177411377429962,5889.11962890625
2,,86,5853.11865234375,,,,,,
,0.0001,87,,,,,,,
3,,89,,4819.927734375,,,,,
3,,99,,4829.35693359375,,,,,
3,,109,,4588.11279296875,,,,,
3,,115,,,8707.763671875,0.1454879492521286,11674.9736328125,0.13046416640281677,4626.50732421875
3,,115,4786.53564453125,,,,,,
,0.0001,116,,,,,,,
4,,119,,4659.49072265625,,,,,
4,,129,,4251.8837890625,,,,,
4,,139,,3998.3515625,,,,,
4,,144,,,7252.33740234375,0.12444998323917389,10436.2880859375,0.10945430397987366,3935.760498046875
4,,144,4189.0986328125,,,,,,
,0.0001,145,,,,,,,
5,,149,,4082.032958984375,,,,,
5,,159,,3831.72607421875,,,,,
5,,169,,3549.46142578125,,,,,
5,,173,,,5820.75439453125,0.09559407085180283,7470.962890625,0.08972775191068649,3341.919677734375
5,,173,3817.97412109375,,,,,,
,0.0001,174,,,,,,,
6,,179,,3616.805419921875,,,,,
6,,189,,3440.315673828125,,,,,
6,,199,,3271.85888671875,,,,,
6,,202,,,4383.888671875,0.0645313486456871,4985.1650390625,0.06493856012821198,2638.106201171875
6,,202,3458.76416015625,,,,,,
,0.0001,203,,,,,,,
7,,209,,3262.6181640625,,,,,
7,,219,,3278.822998046875,,,,,
7,,229,,3063.460693359375,,,,,
7,,231,,,4449.24072265625,0.0628988966345787,4879.87451171875,0.06517047435045242,2438.35693359375
7,,231,3200.15771484375,,,,,,
,0.0001,232,,,,,,,
8,,239,,3175.898193359375,,,,,
8,,249,,3018.553466796875,,,,,
8,,259,,3057.14208984375,,,,,
8,,260,,,4298.6611328125,0.06057848408818245,4776.51220703125,0.06296441704034805,2429.449951171875
8,,260,3025.299072265625,,,,,,
,0.0001,261,,,,,,,
9,,269,,2872.30224609375,,,,,
9,,279,,2840.77392578125,,,,,
9,,289,,2692.967529296875,,,,,
9,,289,,,3918.223876953125,0.05616961792111397,4371.16259765625,0.05824533849954605,2277.10009765625
9,,289,2854.084228515625,,,,,,
,0.0001,290,,,,,,,
10,,299,,2935.643310546875,,,,,
10,,309,,2653.123291015625,,,,,
10,,318,,,3574.451416015625,0.051677387207746506,4032.64404296875,0.05335094779729843,2055.978271484375
10,,318,2768.482421875,,,,,,
,0.0001,319,,,,,,,
11,,319,,2595.883056640625,,,,,
11,,329,,2615.6806640625,,,,,
11,,339,,2767.59375,,,,,
11,,347,,,3796.239013671875,0.05451097711920738,4260.79052734375,0.05659284442663193,2062.4912109375
11,,347,2661.50146484375,,,,,,
,0.0001,348,,,,,,,
12,,349,,2693.918701171875,,,,,
12,,359,,2797.36083984375,,,,,
12,,369,,2614.122802734375,,,,,
12,,376,,,3794.042236328125,0.05423694849014282,4228.49658203125,0.05613905191421509,2031.82373046875
12,,376,2574.555419921875,,,,,,
,0.0001,377,,,,,,,
13,,379,,2311.511474609375,,,,,
13,,389,,2757.279052734375,,,,,
13,,399,,2443.7109375,,,,,
13,,405,,,3299.877197265625,0.04837367683649063,3720.276611328125,0.049858905375003815,1923.8377685546875
13,,405,2470.9765625,,,,,,
,0.0001,406,,,,,,,
14,,409,,2815.879150390625,,,,,
14,,419,,2255.181884765625,,,,,
14,,429,,2231.51611328125,,,,,
14,,434,,,3648.711669921875,0.05142570659518242,4095.660400390625,0.05291839316487312,1860.519775390625
14,,434,2403.392822265625,,,,,,
,0.0001,435,,,,,,,
15,,439,,2498.97509765625,,,,,
15,,449,,2548.73388671875,,,,,
15,,459,,2107.6708984375,,,,,
15,,463,,,3843.214111328125,0.05476893112063408,4275.36328125,0.056845374405384064,1941.794677734375
15,,463,2325.33544921875,,,,,,
,0.0001,464,,,,,,,
16,,469,,2486.375,,,,,
16,,479,,2270.28759765625,,,,,
16,,489,,2186.21142578125,,,,,
16,,492,,,3712.885009765625,0.05241459980607033,4164.51220703125,0.05425874516367912,1903.1575927734375
16,,492,2262.003173828125,,,,,,
,0.0001,493,,,,,,,
17,,499,,2314.932861328125,,,,,
17,,509,,2303.734375,,,,,
17,,519,,2055.522705078125,,,,,
17,,521,,,3119.5224609375,0.044873904436826706,3568.16357421875,0.04603443294763565,1711.6214599609375
17,,521,2202.8037109375,,,,,,
,0.0001,522,,,,,,,
18,,529,,2416.31787109375,,,,,
18,,539,,1990.51220703125,,,,,
18,,549,,2180.11962890625,,,,,
18,,550,,,3060.157958984375,0.044403381645679474,3508.518310546875,0.045726656913757324,1646.855712890625
18,,550,2150.7587890625,,,,,,
,0.0001,551,,,,,,,
19,,559,,1980.6583251953125,,,,,
19,,569,,2140.561767578125,,,,,
19,,579,,2121.65478515625,,,,,
19,,579,,,3391.39306640625,0.048069827258586884,3846.76904296875,0.04959546774625778,1777.5625
19,,579,2104.3662109375,,,,,,
,0.0001,580,,,,,,,
20,,589,,2039.9605712890625,,,,,
20,,599,,1968.5892333984375,,,,,
20,,608,,,2752.856689453125,0.040289297699928284,3230.32421875,0.0412999764084816,1541.1578369140625
20,,608,2048.535888671875,,,,,,
,0.0001,609,,,,,,,
21,,609,,1914.2266845703125,,,,,
21,,619,,2126.282958984375,,,,,
21,,629,,2093.776611328125,,,,,
21,,637,,,3059.28662109375,0.044033028185367584,3554.9384765625,0.04550199583172798,1643.3065185546875
21,,637,2019.654052734375,,,,,,
,0.0001,638,,,,,,,
22,,639,,2019.4803466796875,,,,,
22,,649,,1940.606201171875,,,,,
22,,659,,2010.638671875,,,,,
22,,666,,,2980.50048828125,0.042992573231458664,3458.92333984375,0.044134218245744705,1581.3687744140625
22,,666,1997.47021484375,,,,,,
,0.0001,667,,,,,,,
23,,669,,2064.298583984375,,,,,
23,,679,,1788.480712890625,,,,,
23,,689,,2034.8917236328125,,,,,
23,,695,,,2646.791259765625,0.0390135794878006,3177.219482421875,0.04012589529156685,1482.3565673828125
23,,695,1961.6610107421875,,,,,,
,0.0001,696,,,,,,,
24,,699,,1978.6658935546875,,,,,
24,,709,,1877.7296142578125,,,,,
24,,719,,1923.5985107421875,,,,,
24,,724,,,2781.8583984375,0.04060987010598183,3320.33349609375,0.04195147007703781,1534.4635009765625
24,,724,1924.479736328125,,,,,,
,0.0001,725,,,,,,,
25,,729,,2024.0189208984375,,,,,
25,,739,,1824.5411376953125,,,,,
25,,749,,1850.4500732421875,,,,,
25,,753,,,2439.325927734375,0.036752279847860336,3004.0302734375,0.03773985803127289,1439.5526123046875
25,,753,1894.4871826171875,,,,,,
,0.0001,754,,,,,,,
26,,759,,1820.3646240234375,,,,,
26,,769,,1910.280029296875,,,,,
26,,779,,1963.35107421875,,,,,
26,,782,,,2812.30810546875,0.041068099439144135,3319.36376953125,0.04225479066371918,1528.9608154296875
26,,782,1874.0789794921875,,,,,,
,0.0001,783,,,,,,,
27,,789,,1878.436767578125,,,,,
27,,799,,1840.885498046875,,,,,
27,,809,,1793.4815673828125,,,,,
27,,811,,,2520.774169921875,0.03776336461305618,3052.9599609375,0.038854606449604034,1443.8065185546875
27,,811,1851.939208984375,,,,,,
,0.0001,812,,,,,,,
28,,819,,1880.261962890625,,,,,
28,,829,,1789.76611328125,,,,,
28,,839,,1830.48095703125,,,,,
