date,forecast_purple
2025-09-04,86850.086
2025-09-05,89072.36
2025-09-06,86419.14
2025-09-07,88549.62
2025-09-08,52887.58
2025-09-09,40891.62
2025-09-10,41999.066
2025-09-11,45913.684
2025-09-12,87657.59
2025-09-13,85824.42
2025-09-14,88192.27
2025-09-15,52341.258
2025-09-16,40456.848
2025-09-17,87274.266
2025-09-18,87440.55
2025-09-19,88594.84
2025-09-20,86819.58
2025-09-21,88806.0
2025-09-22,52427.84
2025-09-23,40433.06
2025-09-24,87281.16
2025-09-25,87368.92
2025-09-26,88269.34
2025-09-27,86729.13
2025-09-28,88733.47
2025-09-29,52058.523
2025-09-30,40113.383
2025-10-01,86939.64
2025-10-02,87063.2
2025-10-03,87785.95
