epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0001,0,,,,,,,
0,,9,,12768.662109375,,,,,
0,,19,,10959.4345703125,,,,,
0,,19,,,28235.0859375,0.393318235874176,31504.783203125,0.5095581412315369,26833.611328125
0,,19,12832.15234375,,,,,,
,0.0001,20,,,,,,,
1,,29,,10812.79296875,,,,,
1,,39,,7529.2021484375,,,,,
1,,39,,,29626.537109375,0.4138796627521515,32852.1328125,0.5435518622398376,25011.291015625
1,,39,10604.365234375,,,,,,
,0.0001,40,,,,,,,
2,,49,,8279.8447265625,,,,,
2,,59,,9231.5625,,,,,
2,,59,,,30799.94140625,0.43180912733078003,33958.8515625,0.572897732257843,23309.904296875
2,,59,9173.794921875,,,,,,
,0.0001,60,,,,,,,
3,,69,,9124.099609375,,,,,
3,,79,,8802.783203125,,,,,
3,,79,,,29013.216796875,0.40498173236846924,32225.244140625,0.5286062359809875,21165.0546875
3,,79,8115.7529296875,,,,,,
,0.0001,80,,,,,,,
4,,89,,6744.39208984375,,,,,
4,,99,,6827.263671875,,,,,
4,,99,,,27020.38671875,0.37628063559532166,30209.365234375,0.4812435507774353,19451.92578125
4,,99,7388.2666015625,,,,,,
,0.0001,100,,,,,,,
5,,109,,6100.5166015625,,,,,
5,,119,,6194.57666015625,,,,,
5,,119,,,24596.474609375,0.34162262082099915,27787.095703125,0.42629480361938477,17937.93359375
5,,119,6720.54833984375,,,,,,
,0.0001,120,,,,,,,
6,,129,,5407.55224609375,,,,,
6,,139,,5070.0654296875,,,,,
6,,139,,,22055.19140625,0.3073820173740387,25088.396484375,0.37186554074287415,16427.693359375
6,,139,6173.7001953125,,,,,,
,0.0001,140,,,,,,,
7,,149,,4972.95751953125,,,,,
7,,159,,5440.833984375,,,,,
7,,159,,,19842.857421875,0.2807371914386749,22486.306640625,0.3274417817592621,15105.4658203125
7,,159,5628.796875,,,,,,
,0.0001,160,,,,,,,
8,,169,,5066.228515625,,,,,
8,,179,,4776.19580078125,,,,,
8,,179,,,18308.732421875,0.2638954520225525,20576.86328125,0.29827678203582764,13884.7724609375
