date,forecast_red
2025-09-04,42102.43
2025-09-05,41459.9
2025-09-06,41238.53
2025-09-07,45440.46
2025-09-08,30545.02
2025-09-09,27096.02
2025-09-10,26393.965
2025-09-11,27262.826
2025-09-12,41344.547
2025-09-13,41304.316
2025-09-14,45625.86
2025-09-15,30362.395
2025-09-16,27029.447
2025-09-17,43531.293
2025-09-18,42512.906
2025-09-19,41537.133
2025-09-20,41523.633
2025-09-21,45856.83
2025-09-22,30258.258
2025-09-23,26922.21
2025-09-24,43485.56
2025-09-25,42416.39
2025-09-26,41375.51
2025-09-27,41467.75
2025-09-28,45879.312
2025-09-29,30034.906
2025-09-30,26737.113
2025-10-01,43304.25
2025-10-02,42223.906
2025-10-03,41155.297
