epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0001,0,,,,,,,
0,,9,,6923.3916015625,,,,,
0,,19,,6490.7705078125,,,,,
0,,19,,,7752.1708984375,0.17744605243206024,8227.0595703125,0.17404010891914368,7331.25439453125
0,,19,7060.65869140625,,,,,,
,0.0001,20,,,,,,,
1,,29,,5548.81103515625,,,,,
1,,39,,4883.6875,,,,,
1,,39,,,7140.68701171875,0.16217519342899323,7654.30517578125,0.16026589274406433,4905.455078125
1,,39,5293.822265625,,,,,,
,0.0001,40,,,,,,,
2,,49,,4113.11572265625,,,,,
2,,59,,3585.888916015625,,,,,
2,,59,,,6077.50537109375,0.138881117105484,6701.36474609375,0.1361880600452423,3549.65771484375
2,,59,4156.2802734375,,,,,,
,0.0001,60,,,,,,,
3,,69,,3697.9072265625,,,,,
3,,79,,3704.754638671875,,,,,
3,,79,,,4840.7177734375,0.1129375770688057,5789.5439453125,0.10849812626838684,3027.33740234375
3,,79,3575.82080078125,,,,,,
,0.0001,80,,,,,,,
4,,89,,2981.248779296875,,,,,
4,,99,,3003.635009765625,,,,,
4,,99,,,3894.57861328125,0.09234552830457687,5325.15869140625,0.08708832412958145,2654.069091796875
4,,99,3200.37353515625,,,,,,
,0.0001,100,,,,,,,
5,,109,,3381.23291015625,,,,,
5,,119,,2795.53955078125,,,,,
5,,119,,,3520.85986328125,0.08500190824270248,5184.78173828125,0.07928631454706192,2393.224365234375
5,,119,2978.53955078125,,,,,,
,0.0001,120,,,,,,,
6,,129,,2691.064208984375,,,,,
6,,139,,2942.6103515625,,,,,
6,,139,,,3625.77294921875,0.086867555975914,5222.76025390625,0.08192325383424759,2276.658447265625
6,,139,2840.21923828125,,,,,,
,0.0001,140,,,,,,,
7,,149,,2427.552978515625,,,,,
7,,159,,2641.168701171875,,,,,
7,,159,,,3542.2802734375,0.08540452271699905,5217.9208984375,0.0803554505109787,2196.396728515625
7,,159,2744.75537109375,,,,,,
,0.0001,160,,,,,,,
8,,169,,2773.406982421875,,,,,
8,,179,,2794.308349609375,,,,,
8,,179,,,3442.9697265625,0.08357755094766617,5198.04541015625,0.07826561480760574,2135.87548828125
8,,179,2707.363037109375,,,,,,
,0.0001,180,,,,,,,
9,,189,,2355.9248046875,,,,,
9,,199,,3029.34130859375,,,,,
9,,199,,,3614.869873046875,0.08661427348852158,5205.69140625,0.08195147663354874,2132.59033203125
9,,199,2652.6357421875,,,,,,
,0.0001,200,,,,,,,
10,,209,,2518.919677734375,,,,,
10,,219,,2851.59765625,,,,,
10,,219,,,3515.6005859375,0.0845181792974472,5154.1845703125,0.07960925251245499,2115.71826171875
10,,219,2638.84814453125,,,,,,
,0.0001,220,,,,,,,
11,,229,,2484.011962890625,,,,,
11,,239,,2502.848388671875,,,,,
11,,239,,,3607.406982421875,0.08609919995069504,5155.04736328125,0.08158638328313828,2108.668212890625
11,,239,2601.8173828125,,,,,,
,0.0001,240,,,,,,,
12,,249,,2291.901611328125,,,,,
12,,259,,2751.9384765625,,,,,
12,,259,,,3585.1015625,0.08536677807569504,5110.63623046875,0.08091317862272263,2103.850830078125
12,,259,2571.70263671875,,,,,,
,0.0001,260,,,,,,,
13,,269,,2363.79052734375,,,,,
13,,279,,2183.53857421875,,,,,
13,,279,,,3656.832275390625,0.08627008646726608,5089.3486328125,0.08217375725507736,2119.149658203125
13,,279,2543.82666015625,,,,,,
,0.0001,280,,,,,,,
14,,289,,2557.078369140625,,,,,
14,,299,,2592.482177734375,,,,,
14,,299,,,3639.921875,0.08567728847265244,5034.037109375,0.08177658915519714,2105.638916015625
14,,299,2533.5380859375,,,,,,
,0.0001,300,,,,,,,
15,,309,,2802.035400390625,,,,,
15,,319,,2515.631591796875,,,,,
15,,319,,,3520.750732421875,0.08323182910680771,4934.9921875,0.07924999296665192,2069.556396484375
15,,319,2495.8486328125,,,,,,
,0.0001,320,,,,,,,
16,,329,,2252.001220703125,,,,,
16,,339,,2901.532470703125,,,,,
16,,339,,,3283.63671875,0.0784609317779541,4758.7041015625,0.07417905330657959,1984.71923828125
16,,339,2452.443603515625,,,,,,
,0.0001,340,,,,,,,
17,,349,,2747.33642578125,,,,,
17,,359,,2163.78076171875,,,,,
17,,359,,,3272.885986328125,0.07736311107873917,4570.74072265625,0.07402602583169937,1944.68994140625
17,,359,2427.329345703125,,,,,,
,0.0001,360,,,,,,,
18,,369,,2365.48486328125,,,,,
18,,379,,2322.190673828125,,,,,
18,,379,,,3139.72705078125,0.07435938715934753,4414.75048828125,0.07127334177494049,1877.158447265625
18,,379,2393.727294921875,,,,,,
,0.0001,380,,,,,,,
19,,389,,2576.384033203125,,,,,
19,,399,,2477.5537109375,,,,,
19,,399,,,3020.16259765625,0.0714418813586235,4232.60205078125,0.0687442198395729,1817.341552734375
19,,399,2353.251953125,,,,,,
,0.0001,400,,,,,,,
20,,409,,1923.1097412109375,,,,,
20,,419,,2283.259521484375,,,,,
20,,419,,,2927.356689453125,0.06931161880493164,4123.06689453125,0.06673020869493484,1760.3336181640625
20,,419,2330.73583984375,,,,,,
,0.0001,420,,,,,,,
21,,429,,2047.305419921875,,,,,
21,,439,,2397.093505859375,,,,,
21,,439,,,2740.587646484375,0.06512219458818436,3887.818359375,0.06276847422122955,1665.7989501953125
21,,439,2294.75732421875,,,,,,
,0.0001,440,,,,,,,
22,,449,,1980.6727294921875,,,,,
22,,459,,1859.9827880859375,,,,,
22,,459,,,2648.36865234375,0.06264502555131912,3728.157470703125,0.06074788048863411,1621.6072998046875
22,,459,2245.162353515625,,,,,,
,0.0001,460,,,,,,,
23,,469,,2378.559326171875,,,,,
23,,479,,2449.193115234375,,,,,
23,,479,,,2623.424072265625,0.06163739413022995,3631.00927734375,0.06010321155190468,1595.586181640625
23,,479,2237.46484375,,,,,,
,0.0001,480,,,,,,,
24,,489,,2187.577392578125,,,,,
24,,499,,2184.86962890625,,,,,
24,,499,,,2521.043701171875,0.05962682515382767,3516.461181640625,0.05797703564167023,1551.7518310546875
24,,499,2216.63818359375,,,,,,
,0.0001,500,,,,,,,
25,,509,,2167.447998046875,,,,,
25,,519,,2150.285400390625,,,,,
25,,519,,,2457.462158203125,0.05828233063220978,3430.853515625,0.05662555620074272,1507.6229248046875
25,,519,2180.452880859375,,,,,,
,0.0001,520,,,,,,,
26,,529,,2124.71337890625,,,,,
26,,539,,2073.768798828125,,,,,
26,,539,,,2359.8896484375,0.05488312244415283,3191.79736328125,0.05410778522491455,1455.794189453125
26,,539,2144.994140625,,,,,,
,0.0001,540,,,,,,,
27,,549,,1993.6302490234375,,,,,
27,,559,,1910.0806884765625,,,,,
27,,559,,,2312.830322265625,0.053372010588645935,3100.96533203125,0.052958689630031586,1426.74951171875
27,,559,2121.39892578125,,,,,,
,0.0001,560,,,,,,,
28,,569,,1840.5484619140625,,,,,
28,,579,,2116.643310546875,,,,,
28,,579,,,2351.744873046875,0.0554797537624836,3235.38232421875,0.05417298153042793,1407.1466064453125
28,,579,2100.0537109375,,,,,,
,0.0001,580,,,,,,,
29,,589,,1708.2174072265625,,,,,
29,,599,,1865.2410888671875,,,,,
29,,599,,,2314.1318359375,0.054546378552913666,3186.98291015625,0.05329015105962753,1377.811767578125
29,,599,2054.89306640625,,,,,,
,0.0001,600,,,,,,,
30,,609,,1809.6815185546875,,,,,
30,,619,,2268.51025390625,,,,,
30,,619,,,2165.69482421875,0.0505015105009079,2994.892333984375,0.04973534122109413,1320.2315673828125
30,,619,2037.5648193359375,,,,,,
,0.0001,620,,,,,,,
31,,629,,1616.88330078125,,,,,
31,,639,,1978.4508056640625,,,,,
31,,639,,,2225.50146484375,0.05252537876367569,3088.403564453125,0.05137588083744049,1317.5794677734375
31,,639,2013.661376953125,,,,,,
,0.0001,640,,,,,,,
32,,649,,2077.398193359375,,,,,
32,,659,,1792.98876953125,,,,,
32,,659,,,2161.4970703125,0.05030721798539162,2966.07275390625,0.049582503736019135,1294.3162841796875
32,,659,2004.940673828125,,,,,,
,0.0001,660,,,,,,,
33,,669,,2392.434814453125,,,,,
33,,679,,1821.625,,,,,
33,,679,,,2125.48193359375,0.049434080719947815,2909.28466796875,0.048768576234579086,1280.414306640625
33,,679,1958.0794677734375,,,,,,
,0.0001,680,,,,,,,
34,,689,,2147.8212890625,,,,,
34,,699,,1811.5091552734375,,,,,
34,,699,,,2090.2294921875,0.04873627796769142,2879.095947265625,0.048049695789813995,1259.15625
34,,699,1956.09765625,,,,,,
,0.0001,700,,,,,,,
35,,709,,1716.491455078125,,,,,
35,,719,,2133.704345703125,,,,,
35,,719,,,2068.56005859375,0.04744594916701317,2842.119873046875,0.04711207002401352,1252.72412109375
35,,719,1943.839111328125,,,,,,
,0.0001,720,,,,,,,
36,,729,,1941.0079345703125,,,,,
36,,739,,1986.829833984375,,,,,
36,,739,,,2058.30419921875,0.046973999589681625,2812.86328125,0.046802323311567307,1245.0687255859375
36,,739,1903.8697509765625,,,,,,
,0.0001,740,,,,,,,
37,,749,,2172.003662109375,,,,,
37,,759,,1765.013916015625,,,,,
37,,759,,,2024.602783203125,0.04639984294772148,2791.4306640625,0.04622809961438179,1231.449462890625
37,,759,1904.2220458984375,,,,,,
,0.0001,760,,,,,,,
38,,769,,2021.35888671875,,,,,
38,,779,,1955.7000732421875,,,,,
38,,779,,,2170.77490234375,0.05120659992098808,2912.09130859375,0.05022348091006279,1244.7615966796875
38,,779,1893.784423828125,,,,,,
,0.0001,780,,,,,,,
39,,789,,1690.2589111328125,,,,,
39,,799,,1763.701171875,,,,,
39,,799,,,2064.78564453125,0.04794647544622421,2785.242431640625,0.047458477318286896,1215.9852294921875
39,,799,1870.3023681640625,,,,,,
,0.0001,800,,,,,,,
40,,809,,2064.3037109375,,,,,
40,,819,,1915.8934326171875,,,,,
40,,819,,,2062.78125,0.047651298344135284,2771.23486328125,0.04732823744416237,1202.978515625
40,,819,1859.267822265625,,,,,,
,0.0001,820,,,,,,,
41,,829,,2463.87353515625,,,,,
41,,839,,1851.2628173828125,,,,,
41,,839,,,2042.2591552734375,0.04714921489357948,2759.322998046875,0.04694294556975365,1197.7711181640625
41,,839,1853.0250244140625,,,,,,
,0.0001,840,,,,,,,
42,,849,,2286.219482421875,,,,,
42,,859,,1786.913330078125,,,,,
42,,859,,,2042.6248779296875,0.04733468219637871,2749.691162109375,0.04701906442642212,1191.699951171875
42,,859,1841.6822509765625,,,,,,
,0.0001,860,,,,,,,
43,,869,,1818.484619140625,,,,,
43,,879,,1847.62939453125,,,,,
43,,879,,,2008.7569580078125,0.046502724289894104,2736.6845703125,0.04617840424180031,1184.6856689453125
43,,879,1839.0804443359375,,,,,,
,0.0001,880,,,,,,,
44,,889,,1858.08837890625,,,,,
44,,899,,2185.021240234375,,,,,
44,,899,,,2128.067626953125,0.05029620975255966,2840.5068359375,0.049252111464738846,1214.03857421875
44,,899,1828.6712646484375,,,,,,
,0.0001,900,,,,,,,
45,,909,,1655.0059814453125,,,,,
45,,919,,2080.1455078125,,,,,
45,,919,,,2050.3994140625,0.04770141839981079,2742.65771484375,0.047287266701459885,1185.238037109375
45,,919,1821.7474365234375,,,,,,
,0.0001,920,,,,,,,
46,,929,,1378.2474365234375,,,,,
46,,939,,1522.7220458984375,,,,,
46,,939,,,2009.7967529296875,0.046303678303956985,2744.505615234375,0.046171579509973526,1178.667724609375
46,,939,1806.851318359375,,,,,,
,0.0001,940,,,,,,,
47,,949,,1908.698486328125,,,,,
47,,959,,1992.042724609375,,,,,
47,,959,,,2001.5943603515625,0.04633481428027153,2745.455322265625,0.04598528519272804,1183.1790771484375
47,,959,1817.6058349609375,,,,,,
,0.0001,960,,,,,,,
48,,969,,1859.079833984375,,,,,
48,,979,,1543.1387939453125,,,,,
48,,979,,,2011.600341796875,0.04681507125496864,2716.843505859375,0.04637431353330612,1170.264404296875
48,,979,1804.261474609375,,,,,,
,0.0001,980,,,,,,,
49,,989,,1745.71826171875,,,,,
49,,999,,2316.96728515625,,,,,
49,,999,,,1994.455810546875,0.04620516300201416,2722.38623046875,0.04589701443910599,1171.559814453125
49,,999,1796.52734375,,,,,,
,0.0001,1000,,,,,,,
50,,1009,,1645.0411376953125,,,,,
50,,1019,,1502.923095703125,,,,,
50,,1019,,,1998.927978515625,0.04609394446015358,2739.837646484375,0.045992568135261536,1175.0457763671875
50,,1019,1778.321044921875,,,,,,
,0.0001,1020,,,,,,,
51,,1029,,1766.685791015625,,,,,
51,,1039,,1724.507080078125,,,,,
51,,1039,,,2021.2784423828125,0.04713298752903938,2734.06787109375,0.04659179225564003,1174.757568359375
51,,1039,1769.240966796875,,,,,,
,0.0001,1040,,,,,,,
52,,1049,,1562.5301513671875,,,,,
52,,1059,,1705.1796875,,,,,
52,,1059,,,1981.392822265625,0.04564172029495239,2738.062255859375,0.045577384531497955,1172.7288818359375
52,,1059,1776.194580078125,,,,,,
,0.0001,1060,,,,,,,
53,,1069,,2030.411376953125,,,,,
53,,1079,,1878.41845703125,,,,,
53,,1079,,,2030.6502685546875,0.04748935624957085,2734.969482421875,0.04689126834273338,1179.677978515625
53,,1079,1768.412353515625,,,,,,
