date,forecast_yellow
2025-09-04,50978.223
2025-09-05,51339.363
2025-09-06,51617.703
2025-09-07,51806.35
2025-09-08,39938.273
2025-09-09,35817.78
2025-09-10,33951.26
2025-09-11,33757.527
2025-09-12,50620.062
2025-09-13,51097.508
2025-09-14,51442.46
2025-09-15,37344.273
2025-09-16,33691.26
2025-09-17,50098.63
2025-09-18,50707.2
2025-09-19,51183.29
2025-09-20,51521.742
2025-09-21,51747.156
2025-09-22,38949.1
2025-09-23,34926.668
2025-09-24,50423.688
2025-09-25,50936.977
2025-09-26,51337.62
2025-09-27,51620.82
2025-09-28,51809.574
2025-09-29,39222.547
2025-09-30,35118.14
2025-10-01,50478.492
2025-10-02,50975.938
2025-10-03,51364.824
