วันที่,day_type,holiday_subject,รถไฟฟ้า ARL,รถไฟฟ้า BTS,รถไฟฟ้าสายสีชมพู,รถไฟฟ้าสายสีน้ำเงิน,รถไฟฟ้าสายสีม่วง,รถไฟฟ้าสายสีเหลือง,รถไฟฟ้าสายสีแดง,rain_average,dow
2020-01-01,0,วันขึ้นปีใหม่,48790,461400,not available,236053,23135,not available,not available,0.0,2
2020-01-02,1,normal,65090,720500,not available,341059,39445,not available,not available,0.0,3
2020-01-03,1,normal,69465,782100,not available,373005,43185,not available,not available,0.0,4
2020-01-04,0,normal,53304,574400,not available,274151,30550,not available,not available,0.0,5
2020-01-05,0,normal,50992,503000,not available,237162,26012,not available,not available,0.0,6
2020-01-06,1,normal,78388,855100,not available,408509,51677,not available,not available,0.0,0
2020-01-07,1,normal,78991,869400,not available,418431,51663,not available,not available,0.0,1
2020-01-08,1,normal,79780,871000,not available,420426,51730,not available,not available,0.0,2
2020-01-09,1,normal,80928,891600,not available,425259,51732,not available,not available,0.0,3
2020-01-10,1,normal,86808,950300,not available,446654,53910,not available,not available,0.0,4
2020-01-11,2,วันเด็ก,64336,698600,not available,304673,36728,not available,not available,0.1777777777777777,5
2020-01-12,0,normal,58377,554100,not available,257517,27278,not available,not available,4.51111111111111,6
2020-01-13,1,normal,82678,858200,not available,405611,52439,not available,not available,1.1777777777777776,0
2020-01-14,1,normal,82286,866800,not available,415728,50864,not available,not available,0.4666666666666667,1
2020-01-15,1,normal,80476,873600,not available,421905,50797,not available,not available,0.0,2
2020-01-16,1,normal,81430,872500,not available,423401,49981,not available,not available,0.0,3
2020-01-17,1,normal,88133,927500,not available,439807,52475,not available,not available,0.0,4
2020-01-18,0,normal,69517,665200,not available,315114,34532,not available,not available,0.0,5
2020-01-19,0,normal,56256,555800,not available,254282,27152,not available,not available,0.3111111111111111,6
2020-01-20,1,normal,78462,865500,not available,416312,51400,not available,not available,0.1111111111111111,0
2020-01-21,1,normal,79786,869200,not available,421360,50958,not available,not available,0.7777777777777778,1
2020-01-22,1,normal,79147,863200,not available,420999,50401,not available,not available,0.0,2
2020-01-23,1,normal,79981,868700,not available,418921,49714,not available,not available,0.0,3
2020-01-24,1,normal,81197,887500,not available,417066,50377,not available,not available,0.0,4
2020-01-25,0,normal,57376,616800,not available,318958,31906,not available,not available,0.0,5
2020-01-26,0,normal,50164,527200,not available,244187,25900,not available,not available,0.0,6
2020-01-27,1,normal,75843,827200,not available,387600,49243,not available,not available,0.0666666666666666,0
2020-01-28,1,normal,76150,852700,not available,404920,51044,not available,not available,0.0,1
2020-01-29,1,normal,74102,847400,not available,401754,50013,not available,not available,0.0,2
2020-01-30,1,normal,78567,863200,not available,402481,49927,not available,not available,0.0,3
2020-01-31,1,normal,84351,950500,not available,425928,53171,not available,not available,0.0,4
2020-02-01,0,normal,58430,655000,not available,275879,33234,not available,not available,0.0,5
2020-02-02,0,normal,54023,551700,not available,224924,26922,not available,not available,0.0,6
2020-02-03,1,normal,75965,855800,not available,393006,51217,not available,not available,0.0,0
2020-02-04,1,normal,73907,858600,not available,382133,50610,not available,not available,0.0,1
2020-02-05,1,normal,75789,862600,not available,399754,50774,not available,not available,0.0,2
2020-02-06,1,normal,79288,859800,not available,399112,50051,not available,not available,0.0,3
2020-02-07,1,normal,80651,931300,not available,423459,53488,not available,not available,0.0,4
2020-02-08,0,วันมาฆบูชา,57520,603800,not available,256033,29710,not available,not available,0.0,5
2020-02-09,0,normal,50994,455200,not available,201389,23841,not available,not available,0.0,6
2020-02-10,0,วันหยุดชดเชย,49784,459400,not available,202436,24804,not available,not available,0.0,0
2020-02-11,1,normal,70551,815100,not available,386968,50481,not available,not available,0.0,1
2020-02-12,1,normal,71848,816400,not available,391027,50682,not available,not available,0.0,2
2020-02-13,1,normal,73272,837300,not available,395453,50713,not available,not available,0.0,3
2020-02-14,2,วาเลนไทน์,79931,944700,not available,432048,55575,not available,not available,0.0,4
2020-02-15,0,normal,58659,599400,not available,271721,32661,not available,not available,0.0,5
2020-02-16,0,normal,45572,487100,not available,221245,25563,not available,not available,0.0,6
2020-02-17,1,normal,72562,803100,not available,394847,50592,not available,not available,3.577777777777778,0
2020-02-18,1,normal,69714,808100,not available,400256,50389,not available,not available,0.0,1
2020-02-19,1,normal,67729,812400,not available,400052,49515,not available,not available,0.0,2
2020-02-20,1,normal,70699,816100,not available,403491,49447,not available,not available,0.0,3
2020-02-21,1,normal,75307,862200,not available,417255,51616,not available,not available,0.0,4
2020-02-22,0,normal,51213,561900,not available,259431,31904,not available,not available,0.0,5
2020-02-23,0,normal,43833,461200,not available,202282,24839,not available,not available,0.0,6
2020-02-24,1,normal,69091,780200,not available,380686,49089,not available,not available,0.0,0
2020-02-25,1,normal,67954,793600,not available,382353,49350,not available,not available,0.0222222222222222,1
2020-02-26,1,normal,67225,783500,not available,378658,48133,not available,not available,0.0,2
2020-02-27,1,normal,66689,768900,not available,367496,47207,not available,not available,0.1555555555555555,3
2020-02-28,1,normal,71026,827000,not available,393497,48288,not available,not available,1.0444444444444445,4
2020-02-29,0,normal,45447,520900,not available,232369,29452,not available,not available,0.0,5
2020-03-01,0,normal,42549,427000,not available,183140,22269,not available,not available,0.0,6
2020-03-02,1,normal,64400,743000,not available,361736,45914,not available,not available,0.0,0
2020-03-03,1,normal,63037,745000,not available,372844,45918,not available,not available,0.0,1
2020-03-04,1,normal,62093,738000,not available,364674,45501,not available,not available,0.0,2
2020-03-05,1,normal,64741,744000,not available,361229,44819,not available,not available,0.0666666666666666,3
2020-03-06,1,normal,65964,777000,not available,371369,47226,not available,not available,0.0,4
2020-03-07,0,normal,43805,472000,not available,210564,26802,not available,not available,0.0,5
2020-03-08,0,normal,37936,389000,not available,170247,21327,not available,not available,0.0,6
