วันที่,day_name,day_type,is_holiday,holiday_subject,รถไฟฟ้า ARL,รถไฟฟ้า BTS,รถไฟฟ้าสายสีชมพู,รถไฟฟ้าสายสีน้ำเงิน,รถไฟฟ้าสายสีม่วง,รถไฟฟ้าสายสีเหลือง,รถไฟฟ้าสายสีแดง,rain_average,day_of_week,is_weekend,month,rain
2020-01-01,วันพุธ,0,holiday,วันขึ้นปีใหม่,48790.0,461400.0,,236053.0,23135.0,,,0.0,2,0,1,0
2020-01-02,วันพหัสบดี,1,normal,normal,65090.0,720500.0,,341059.0,39445.0,,,0.0,3,0,1,0
2020-01-03,วันศุกร์,1,normal,normal,69465.0,782100.0,,373005.0,43185.0,,,0.0,4,0,1,0
2020-01-04,วันเสาร์,0,normal,normal,53304.0,574400.0,,274151.0,30550.0,,,0.0,5,1,1,0
2020-01-05,วันอาทิตย์,0,normal,normal,50992.0,503000.0,,237162.0,26012.0,,,0.0,6,1,1,0
2020-01-06,วันจันทร์,1,normal,normal,78388.0,855100.0,,408509.0,51677.0,,,0.0,0,0,1,0
2020-01-07,วันอังคาร,1,normal,normal,78991.0,869400.0,,418431.0,51663.0,,,0.0,1,0,1,0
2020-01-08,วันพุธ,1,normal,normal,79780.0,871000.0,,420426.0,51730.0,,,0.0,2,0,1,0
2020-01-09,วันพหัสบดี,1,normal,normal,80928.0,891600.0,,425259.0,51732.0,,,0.0,3,0,1,0
2020-01-10,วันศุกร์,1,normal,normal,86808.0,950300.0,,446654.0,53910.0,,,0.0,4,0,1,0
2020-01-11,วันเสาร์,2,festival,วันเด็ก,64336.0,698600.0,,304673.0,36728.0,,,0.1777777777777777,5,1,1,0
2020-01-12,วันอาทิตย์,0,normal,normal,58377.0,554100.0,,257517.0,27278.0,,,4.51111111111111,6,1,1,0
2020-01-13,วันจันทร์,1,normal,normal,82678.0,858200.0,,405611.0,52439.0,,,1.1777777777777776,0,0,1,0
2020-01-14,วันอังคาร,1,normal,normal,82286.0,866800.0,,415728.0,50864.0,,,0.4666666666666667,1,0,1,0
2020-01-15,วันพุธ,1,normal,normal,80476.0,873600.0,,421905.0,50797.0,,,0.0,2,0,1,0
2020-01-16,วันพหัสบดี,1,normal,normal,81430.0,872500.0,,423401.0,49981.0,,,0.0,3,0,1,0
2020-01-17,วันศุกร์,1,normal,normal,88133.0,927500.0,,439807.0,52475.0,,,0.0,4,0,1,0
2020-01-18,วันเสาร์,0,normal,normal,69517.0,665200.0,,315114.0,34532.0,,,0.0,5,1,1,0
2020-01-19,วันอาทิตย์,0,normal,normal,56256.0,555800.0,,254282.0,27152.0,,,0.3111111111111111,6,1,1,0
2020-01-20,วันจันทร์,1,normal,normal,78462.0,865500.0,,416312.0,51400.0,,,0.1111111111111111,0,0,1,0
2020-01-21,วันอังคาร,1,normal,normal,79786.0,869200.0,,421360.0,50958.0,,,0.7777777777777778,1,0,1,0
2020-01-22,วันพุธ,1,normal,normal,79147.0,863200.0,,420999.0,50401.0,,,0.0,2,0,1,0
2020-01-23,วันพหัสบดี,1,normal,normal,79981.0,868700.0,,418921.0,49714.0,,,0.0,3,0,1,0
2020-01-24,วันศุกร์,1,normal,normal,81197.0,887500.0,,417066.0,50377.0,,,0.0,4,0,1,0
2020-01-25,วันเสาร์,0,normal,normal,57376.0,616800.0,,318958.0,31906.0,,,0.0,5,1,1,0
