วันที่,day_name,day_type,holiday_type,holiday_subject,ยานพาหนะ/ท่า,ปริมาณ
2020-01-01,วันพุธ,0,holiday,วันขึ้นปีใหม่,รถไฟฟ้าสายสีน้ำเงิน,236053.0
2020-01-01,วันพุธ,0,holiday,วันขึ้นปีใหม่,รถไฟฟ้าสายสีม่วง,23135.0
2020-01-01,วันพุธ,0,holiday,วันขึ้นปีใหม่,รถไฟฟ้า ARL,48790.0
2020-01-01,วันพุธ,0,holiday,วันขึ้นปีใหม่,รถไฟฟ้า BTS,461400.0
2020-01-02,วันพหัสบดี,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,341059.0
2020-01-02,วันพหัสบดี,1,normal,normal,รถไฟฟ้าสายสีม่วง,39445.0
2020-01-02,วันพหัสบดี,1,normal,normal,รถไฟฟ้า ARL,65090.0
2020-01-02,วันพหัสบดี,1,normal,normal,รถไฟฟ้า BTS,720500.0
2020-01-03,วันศุกร์,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,373005.0
2020-01-03,วันศุกร์,1,normal,normal,รถไฟฟ้าสายสีม่วง,43185.0
2020-01-03,วันศุกร์,1,normal,normal,รถไฟฟ้า ARL,69465.0
2020-01-03,วันศุกร์,1,normal,normal,รถไฟฟ้า BTS,782100.0
2020-01-04,วันเสาร์,0,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,274151.0
2020-01-04,วันเสาร์,0,normal,normal,รถไฟฟ้าสายสีม่วง,30550.0
2020-01-04,วันเสาร์,0,normal,normal,รถไฟฟ้า ARL,53304.0
2020-01-04,วันเสาร์,0,normal,normal,รถไฟฟ้า BTS,574400.0
2020-01-05,วันอาทิตย์,0,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,237162.0
2020-01-05,วันอาทิตย์,0,normal,normal,รถไฟฟ้าสายสีม่วง,26012.0
2020-01-05,วันอาทิตย์,0,normal,normal,รถไฟฟ้า ARL,50992.0
2020-01-05,วันอาทิตย์,0,normal,normal,รถไฟฟ้า BTS,503000.0
2020-01-06,วันจันทร์,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,408509.0
2020-01-06,วันจันทร์,1,normal,normal,รถไฟฟ้าสายสีม่วง,51677.0
2020-01-06,วันจันทร์,1,normal,normal,รถไฟฟ้า ARL,78388.0
2020-01-06,วันจันทร์,1,normal,normal,รถไฟฟ้า BTS,855100.0
2020-01-07,วันอังคาร,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,418431.0
2020-01-07,วันอังคาร,1,normal,normal,รถไฟฟ้าสายสีม่วง,51663.0
2020-01-07,วันอังคาร,1,normal,normal,รถไฟฟ้า ARL,78991.0
2020-01-07,วันอังคาร,1,normal,normal,รถไฟฟ้า BTS,869400.0
2020-01-08,วันพุธ,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,420426.0
2020-01-08,วันพุธ,1,normal,normal,รถไฟฟ้าสายสีม่วง,51730.0
2020-01-08,วันพุธ,1,normal,normal,รถไฟฟ้า ARL,79780.0
2020-01-08,วันพุธ,1,normal,normal,รถไฟฟ้า BTS,871000.0
2020-01-09,วันพหัสบดี,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,425259.0
2020-01-09,วันพหัสบดี,1,normal,normal,รถไฟฟ้าสายสีม่วง,51732.0
2020-01-09,วันพหัสบดี,1,normal,normal,รถไฟฟ้า ARL,80928.0
2020-01-09,วันพหัสบดี,1,normal,normal,รถไฟฟ้า BTS,891600.0
2020-01-10,วันศุกร์,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,446654.0
2020-01-10,วันศุกร์,1,normal,normal,รถไฟฟ้าสายสีม่วง,53910.0
2020-01-10,วันศุกร์,1,normal,normal,รถไฟฟ้า ARL,86808.0
2020-01-10,วันศุกร์,1,normal,normal,รถไฟฟ้า BTS,950300.0
2020-01-11,วันเสาร์,2,festival,วันเด็ก,รถไฟฟ้าสายสีน้ำเงิน,304673.0
2020-01-11,วันเสาร์,2,festival,วันเด็ก,รถไฟฟ้าสายสีม่วง,36728.0
2020-01-11,วันเสาร์,2,festival,วันเด็ก,รถไฟฟ้า ARL,64336.0
2020-01-11,วันเสาร์,2,festival,วันเด็ก,รถไฟฟ้า BTS,698600.0
2020-01-12,วันอาทิตย์,0,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,257517.0
2020-01-12,วันอาทิตย์,0,normal,normal,รถไฟฟ้าสายสีม่วง,27278.0
2020-01-12,วันอาทิตย์,0,normal,normal,รถไฟฟ้า ARL,58377.0
2020-01-12,วันอาทิตย์,0,normal,normal,รถไฟฟ้า BTS,554100.0
2020-01-13,วันจันทร์,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,405611.0
2020-01-13,วันจันทร์,1,normal,normal,รถไฟฟ้าสายสีม่วง,52439.0
2020-01-13,วันจันทร์,1,normal,normal,รถไฟฟ้า ARL,82678.0
2020-01-13,วันจันทร์,1,normal,normal,รถไฟฟ้า BTS,858200.0
2020-01-14,วันอังคาร,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,415728.0
2020-01-14,วันอังคาร,1,normal,normal,รถไฟฟ้าสายสีม่วง,50864.0
2020-01-14,วันอังคาร,1,normal,normal,รถไฟฟ้า ARL,82286.0
2020-01-14,วันอังคาร,1,normal,normal,รถไฟฟ้า BTS,866800.0
2020-01-15,วันพุธ,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,421905.0
2020-01-15,วันพุธ,1,normal,normal,รถไฟฟ้าสายสีม่วง,50797.0
2020-01-15,วันพุธ,1,normal,normal,รถไฟฟ้า ARL,80476.0
2020-01-15,วันพุธ,1,normal,normal,รถไฟฟ้า BTS,873600.0
2020-01-16,วันพหัสบดี,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,423401.0
2020-01-16,วันพหัสบดี,1,normal,normal,รถไฟฟ้าสายสีม่วง,49981.0
2020-01-16,วันพหัสบดี,1,normal,normal,รถไฟฟ้า ARL,81430.0
2020-01-16,วันพหัสบดี,1,normal,normal,รถไฟฟ้า BTS,872500.0
2020-01-17,วันศุกร์,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,439807.0
2020-01-17,วันศุกร์,1,normal,normal,รถไฟฟ้าสายสีม่วง,52475.0
2020-01-17,วันศุกร์,1,normal,normal,รถไฟฟ้า ARL,88133.0
2020-01-17,วันศุกร์,1,normal,normal,รถไฟฟ้า BTS,927500.0
2020-01-18,วันเสาร์,0,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,315114.0
2020-01-18,วันเสาร์,0,normal,normal,รถไฟฟ้าสายสีม่วง,34532.0
2020-01-18,วันเสาร์,0,normal,normal,รถไฟฟ้า ARL,69517.0
2020-01-18,วันเสาร์,0,normal,normal,รถไฟฟ้า BTS,665200.0
2020-01-19,วันอาทิตย์,0,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,254282.0
2020-01-19,วันอาทิตย์,0,normal,normal,รถไฟฟ้าสายสีม่วง,27152.0
2020-01-19,วันอาทิตย์,0,normal,normal,รถไฟฟ้า ARL,56256.0
2020-01-19,วันอาทิตย์,0,normal,normal,รถไฟฟ้า BTS,555800.0
2020-01-20,วันจันทร์,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,416312.0
2020-01-20,วันจันทร์,1,normal,normal,รถไฟฟ้าสายสีม่วง,51400.0
2020-01-20,วันจันทร์,1,normal,normal,รถไฟฟ้า ARL,78462.0
2020-01-20,วันจันทร์,1,normal,normal,รถไฟฟ้า BTS,865500.0
2020-01-21,วันอังคาร,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,421360.0
2020-01-21,วันอังคาร,1,normal,normal,รถไฟฟ้าสายสีม่วง,50958.0
2020-01-21,วันอังคาร,1,normal,normal,รถไฟฟ้า ARL,79786.0
2020-01-21,วันอังคาร,1,normal,normal,รถไฟฟ้า BTS,869200.0
2020-01-22,วันพุธ,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,420999.0
2020-01-22,วันพุธ,1,normal,normal,รถไฟฟ้าสายสีม่วง,50401.0
2020-01-22,วันพุธ,1,normal,normal,รถไฟฟ้า ARL,79147.0
2020-01-22,วันพุธ,1,normal,normal,รถไฟฟ้า BTS,863200.0
2020-01-23,วันพหัสบดี,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,418921.0
2020-01-23,วันพหัสบดี,1,normal,normal,รถไฟฟ้าสายสีม่วง,49714.0
2020-01-23,วันพหัสบดี,1,normal,normal,รถไฟฟ้า ARL,79981.0
2020-01-23,วันพหัสบดี,1,normal,normal,รถไฟฟ้า BTS,868700.0
2020-01-24,วันศุกร์,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,417066.0
2020-01-24,วันศุกร์,1,normal,normal,รถไฟฟ้าสายสีม่วง,50377.0
2020-01-24,วันศุกร์,1,normal,normal,รถไฟฟ้า ARL,81197.0
2020-01-24,วันศุกร์,1,normal,normal,รถไฟฟ้า BTS,887500.0
2020-01-25,วันเสาร์,0,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,318958.0
2020-01-25,วันเสาร์,0,normal,normal,รถไฟฟ้าสายสีม่วง,31906.0
2020-01-25,วันเสาร์,0,normal,normal,รถไฟฟ้า ARL,57376.0
2020-01-25,วันเสาร์,0,normal,normal,รถไฟฟ้า BTS,616800.0
2020-01-26,วันอาทิตย์,0,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,244187.0
2020-01-26,วันอาทิตย์,0,normal,normal,รถไฟฟ้าสายสีม่วง,25900.0
2020-01-26,วันอาทิตย์,0,normal,normal,รถไฟฟ้า ARL,50164.0
2020-01-26,วันอาทิตย์,0,normal,normal,รถไฟฟ้า BTS,527200.0
2020-01-27,วันจันทร์,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,387600.0
2020-01-27,วันจันทร์,1,normal,normal,รถไฟฟ้าสายสีม่วง,49243.0
2020-01-27,วันจันทร์,1,normal,normal,รถไฟฟ้า ARL,75843.0
2020-01-27,วันจันทร์,1,normal,normal,รถไฟฟ้า BTS,827200.0
2020-01-28,วันอังคาร,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,404920.0
2020-01-28,วันอังคาร,1,normal,normal,รถไฟฟ้าสายสีม่วง,51044.0
2020-01-28,วันอังคาร,1,normal,normal,รถไฟฟ้า ARL,76150.0
2020-01-28,วันอังคาร,1,normal,normal,รถไฟฟ้า BTS,852700.0
2020-01-29,วันพุธ,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,401754.0
2020-01-29,วันพุธ,1,normal,normal,รถไฟฟ้าสายสีม่วง,50013.0
2020-01-29,วันพุธ,1,normal,normal,รถไฟฟ้า ARL,74102.0
2020-01-29,วันพุธ,1,normal,normal,รถไฟฟ้า BTS,847400.0
2020-01-30,วันพหัสบดี,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,402481.0
2020-01-30,วันพหัสบดี,1,normal,normal,รถไฟฟ้าสายสีม่วง,49927.0
2020-01-30,วันพหัสบดี,1,normal,normal,รถไฟฟ้า ARL,78567.0
2020-01-30,วันพหัสบดี,1,normal,normal,รถไฟฟ้า BTS,863200.0
