ยานพาหนะ/ท่า,วันที่,ปริมาณ
รถไฟฟ้าสายสีน้ำเงิน,2020-01-01,236053.0
รถไฟฟ้าสายสีม่วง,2020-01-01,23135.0
รถไฟฟ้า ARL,2020-01-01,48790.0
รถไฟฟ้า BTS,2020-01-01,461400.0
รถไฟฟ้าสายสีน้ำเงิน,2020-01-02,341059.0
รถไฟฟ้าสายสีม่วง,2020-01-02,39445.0
รถไฟฟ้า ARL,2020-01-02,65090.0
รถไฟฟ้า BTS,2020-01-02,720500.0
รถไฟฟ้าสายสีน้ำเงิน,2020-01-03,373005.0
รถไฟฟ้าสายสีม่วง,2020-01-03,43185.0
รถไฟฟ้า ARL,2020-01-03,69465.0
รถไฟฟ้า BTS,2020-01-03,782100.0
รถไฟฟ้าสายสีน้ำเงิน,2020-01-04,274151.0
รถไฟฟ้าสายสีม่วง,2020-01-04,30550.0
รถไฟฟ้า ARL,2020-01-04,53304.0
รถไฟฟ้า BTS,2020-01-04,574400.0
รถไฟฟ้าสายสีน้ำเงิน,2020-01-05,237162.0
รถไฟฟ้าสายสีม่วง,2020-01-05,26012.0
รถไฟฟ้า ARL,2020-01-05,50992.0
รถไฟฟ้า BTS,2020-01-05,503000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-01-06,408509.0
รถไฟฟ้าสายสีม่วง,2020-01-06,51677.0
รถไฟฟ้า ARL,2020-01-06,78388.0
รถไฟฟ้า BTS,2020-01-06,855100.0
รถไฟฟ้าสายสีน้ำเงิน,2020-01-07,418431.0
รถไฟฟ้าสายสีม่วง,2020-01-07,51663.0
รถไฟฟ้า ARL,2020-01-07,78991.0
รถไฟฟ้า BTS,2020-01-07,869400.0
รถไฟฟ้าสายสีน้ำเงิน,2020-01-08,420426.0
รถไฟฟ้าสายสีม่วง,2020-01-08,51730.0
รถไฟฟ้า ARL,2020-01-08,79780.0
รถไฟฟ้า BTS,2020-01-08,871000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-01-09,425259.0
รถไฟฟ้าสายสีม่วง,2020-01-09,51732.0
รถไฟฟ้า ARL,2020-01-09,80928.0
รถไฟฟ้า BTS,2020-01-09,891600.0
รถไฟฟ้าสายสีน้ำเงิน,2020-01-10,446654.0
รถไฟฟ้าสายสีม่วง,2020-01-10,53910.0
